.	Image file path	
1.552	Pixel size	
cw	Rotation direction	
0	U offset	
0	V offset	
1500	SO	
1500	SD	
		
Proj_00596.tif	-154.82	0
Proj_00597.tif	-155.4	0
Proj_00598.tif	-155.97	0
Proj_00599.tif	-156.51	0
Proj_00600.tif	-157.08	0
Proj_00601.tif	-157.66	0
Proj_00602.tif	-158.22	0
Proj_00603.tif	-158.77	0
Proj_00604.tif	-159.32	0
Proj_00605.tif	-159.89	0
Proj_00606.tif	-160.46	0
Proj_00607.tif	-161.01	0
Proj_00608.tif	-161.58	0
Proj_00609.tif	-162.16	0
Proj_00610.tif	-162.71	0
Proj_00611.tif	-163.27	0
Proj_00612.tif	-163.83	0
Proj_00613.tif	-164.4	0
Proj_00614.tif	-164.97	0
Proj_00615.tif	-165.53	0
Proj_00616.tif	-166.1	0
Proj_00617.tif	-166.68	0
Proj_00618.tif	-167.24	0
Proj_00619.tif	-167.8	0
Proj_00620.tif	-168.37	0
Proj_00621.tif	-168.93	0
Proj_00622.tif	-169.5	0
Proj_00623.tif	-170.07	0
Proj_00624.tif	-170.63	0
Proj_00625.tif	-171.2	0
Proj_00626.tif	-171.76	0
Proj_00627.tif	-172.31	0
Proj_00628.tif	-172.88	0
Proj_00629.tif	-173.44	0
Proj_00630.tif	-174.01	0
Proj_00631.tif	-174.57	0
Proj_00632.tif	-175.12	0
Proj_00633.tif	-175.7	0
Proj_00634.tif	-176.27	0
Proj_00635.tif	-176.82	0
Proj_00636.tif	-177.39	0
Proj_00637.tif	-177.97	0
Proj_00638.tif	-178.52	0
Proj_00639.tif	-179.08	0
Proj_00640.tif	-179.64	0
